,gdp_per_capita,country_code
0,2057,AF
1,12783,AL
2,11683,DZ
3,7304,AO
4,20144,AG
5,23107,AR
6,12222,AM
7,38309,AW
8,48484,AU
9,54297,AT
10,14372,AZ
11,36123,BS
12,47092,BH
13,4195,BD
14,15645,BB
15,18571,BY
16,50560,BE
17,7255,BZ
18,3080,BJ
19,80211,BM
20,11043,BT
21,8398,BO
22,13772,BA
23,15814,BW
24,14694,BR
25,61499,BN
26,21534,BG
27,2049,BF
28,781,BI
29,3949,KH
30,3665,CM
31,48286,CA
32,6686,CV
33,70179,KY
34,906,CF
35,1657,TD
36,24688,CL
37,14273,CN
38,14272,CO
39,3022,KM
40,4351,CG
41,20167,CR
42,4822,CI
43,27102,HR
44,25517,CW
45,38150,CY
46,38584,CZ
47,1073,CD
48,55155,DK
49,4966,DJ
50,11846,DM
51,16871,DO
53,11600,EC
54,11102,EG
55,8460,SV
56,22916,GQ
57,33674,EE
58,8442,SZ
59,2004,ET
62,13270,FJ
63,47096,FI
64,44586,FR
65,15113,GA
66,2110,GM
67,13680,GE
68,52705,DE
69,5119,GH
70,28789,GR
71,16134,GD
72,8354,GT
73,2365,GN
74,1886,GW
75,12092,GY
76,3122,HT
77,5532,HN
78,59162,HK
79,29785,HU
80,55240,IS
81,6146,IN
82,10960,ID
83,13460,IR
84,10592,IQ
85,78357,IE
86,39034,IL
87,41484,IT
88,9628,JM
89,41301,JP
90,10054,JO
91,25052,KZ
92,4243,KE
93,2256,KI
94,10397,XK
95,52146,KW
96,5031,KG
97,7235,LA
99,28775,LV
100,15762,LB
101,2669,LS
102,1555,LR
103,13009,LY
104,33810,LT
105,115204,LU
106,124343,MO
107,1582,MG
108,1483,MW
109,26598,MY
110,18246,MV
111,2238,ML
112,42058,MT
113,3757,MH
114,5123,MR
115,21407,MU
116,19627,MX
117,3460,FM
119,11669,MD
120,11571,MN
121,19793,ME
122,7308,MA
123,1278,MZ
124,4223,MM
125,10241,NA
126,13519,NR
127,3588,NP
128,54951,NL
129,42158,NZ
130,5725,NI
131,1174,NE
132,5256,NG
134,15864,MK
135,63774,NO
136,33269,OM
137,4542,PK
138,17932,PW
139,6291,PS
140,30138,PA
141,4215,PG
142,12407,PY
143,12531,PE
144,8111,PH
145,30281,PL
146,32999,PT
147,34464,PR
148,92848,QA
149,26913,RO
150,26154,RU
151,2026,RW
152,26801,KN
153,14794,LC
154,12267,VC
155,6391,WS
156,59272,SM
157,3925,ST
158,47882,SA
159,3182,SN
160,16826,RS
161,26886,SC
162,1628,SL
163,94562,SG
164,38940,SX
165,30221,SK
166,36418,SI
167,2628,SB
168,1101,SO
169,13871,ZA
171,40865,KR
172,39289,ES
173,12539,LK
175,4490,SD
176,18765,SR
177,51882,SE
178,69467,CH
179,3269,TJ
180,2515,TZ
181,17408,TH
182,3307,TL
183,2019,TG
184,6303,TO
185,26951,TT
186,11253,TN
187,27355,TR
188,14229,TM
189,27868,TC
190,3925,TV
191,2108,UG
192,11951,UA
193,66839,AE
194,46270,GB
195,60396,US
196,22846,UY
197,6867,UZ
198,3040,VU
199,7198,VN
201,3478,ZM
202,3747,ZW
