,che_per_capita_usd,country_code
0,6680,AF
1,1867,AL
2,2646,DZ
3,2937,AD
4,3878,AO
5,8068,AG
6,2981,AR
7,4289,AM
8,5602,AU
9,4972,AT
10,1070,AZ
11,1831,BS
12,2864,BH
13,4155,BD
14,1170,BB
15,2766,BY
16,4770,BE
17,1886,BZ
18,2783,BJ
19,4514,BT
20,2164,BO
21,3863,BA
22,4002,BW
23,8458,BR
24,5738,BN
25,6192,BG
26,3132,BF
27,1190,BI
28,992,CV
29,6735,KH
30,4276,CM
31,4877,CA
32,2980,CF
33,3273,TD
34,1301,CL
35,4555,CN
36,4901,CO
37,5615,KM
38,4372,CG
39,3618,CK
40,8834,CR
41,6848,CI
42,5488,HR
43,8048,CU
44,1816,CY
45,1537,CZ
46,1910,CD
47,5856,DK
48,5481,DJ
49,4302,DM
50,2746,DO
51,3865,EC
52,1190,EG
53,3423,SV
54,2560,GQ
55,2395,ER
56,1376,EE
57,2596,SZ
58,2455,ET
59,1951,FJ
60,4291,FI
61,4410,FR
62,1672,GA
63,1754,GM
64,3119,GE
65,5083,DE
66,7107,GH
67,1535,GR
68,4284,GD
69,2578,GT
70,3876,GN
71,5685,GW
72,1756,GY
73,6063,HT
74,1102,HN
75,5965,HU
76,5466,IS
77,3808,IN
78,2846,ID
79,3700,IR
80,1663,IQ
81,5039,IE
82,3046,IL
83,2820,IT
84,3146,JM
85,4154,JP
86,3100,JO
87,1803,KZ
88,6279,KE
89,1230,KI
90,1436,KW
91,7215,KG
92,4760,LA
93,5623,LV
94,6761,LB
95,506,LS
96,6522,LR
97,4557,LT
98,5811,LU
99,2254,MG
100,3490,MW
101,3877,MY
102,8811,MV
103,3037,ML
104,2562,MT
105,6782,MH
106,3741,MR
107,4857,MU
108,5298,MX
109,4009,FM
110,1885,MD
111,3060,MC
112,1621,MN
113,6488,ME
114,1686,MA
115,3775,MZ
116,6059,MM
117,3761,NA
118,4519,NR
119,4026,NP
120,5007,NL
121,3856,NZ
122,1381,NI
123,2763,NE
124,6470,NG
125,1171,NU
126,3559,MK
127,7831,NO
128,7101,OM
129,3219,PK
130,1990,PW
131,2911,PA
132,5502,PG
133,4038,PY
134,3369,PE
135,1044,PH
136,5767,PL
137,2020,PT
138,2205,QA
139,5798,RO
140,3394,RU
141,4096,RW
142,1129,KN
143,4164,LC
144,2688,VC
145,2137,WS
146,3851,SM
147,2392,ST
148,1233,SA
149,4991,SN
150,4349,RS
151,7375,SC
152,4609,SL
153,2559,SG
154,1223,SK
155,1985,SI
156,7784,SB
157,5238,ZA
158,2257,KR
159,2630,SS
160,2541,ES
161,1222,LK
162,4672,SD
163,3388,SR
164,5755,SE
165,9593,CH
166,4970,TJ
167,3764,TZ
168,2091,TH
169,6961,TL
170,3941,TG
171,1741,TO
172,1053,TT
173,2215,TN
174,4258,TR
175,3708,TM
176,4149,TV
177,2942,UG
178,1939,UA
179,1680,AE
180,4181,GB
181,9937,US
182,1579,UY
183,6001,UZ
184,3745,VU
185,3417,VE
186,1190,VN
187,5094,ZM
188,3593,ZW
