,both_sex_life_exp,fem_life_exp,male_life_exp,country_code
0,62.43,62.754999999999995,62.165,AF
1,77.92,79.8,76.175,AL
2,76.83500000000001,77.81,75.94,DZ
3,62.39,65.00999999999999,59.915000000000006,AO
4,76.295,77.86,74.655,AG
5,76.375,79.4,73.215,AR
6,75.27000000000001,78.495,71.685,AM
7,82.66,84.505,80.83,AU
8,81.315,83.535,79.02,AT
9,71.05000000000001,73.76,68.36,AZ
10,73.065,76.33500000000001,69.78999999999999,BS
11,76.13499999999999,77.145,75.45500000000001,BH
12,73.91499999999999,75.215,72.745,BD
13,76.125,77.50999999999999,74.66499999999999,BB
14,74.315,79.20500000000001,69.105,BY
15,81.065,83.185,78.885,BE
16,74.22999999999999,77.53,71.25,BZ
17,62.695,64.955,60.425,BJ
18,72.63,73.92,71.53999999999999,BT
19,71.83,72.78999999999999,70.87,BO
20,76.535,78.87,74.16,BA
21,61.59,64.695,58.39,BW
22,75.515,79.015,72.06,BR
23,74.36,75.43,73.38499999999999,BN
24,74.81,78.32,71.41,BG
25,61.81,64.34,59.150000000000006,BF
26,62.945,65.2,60.695,BI
27,74.455,77.765,71.04,CV
28,69.64500000000001,72.32,66.715,KH
29,60.735,62.745000000000005,58.79,CM
30,82.0,83.815,80.14,CA
31,51.815,54.644999999999996,49.2,CF
32,58.769999999999996,60.485,57.085,TD
33,80.28,82.88,77.535,CL
34,77.035,80.18,74.28999999999999,CN
35,78.83,81.44,76.16,CO
36,66.92,68.36,65.495,KM
37,63.925,64.6,63.185,CG
38,80.815,83.455,78.235,CR
39,61.56,64.385,59.254999999999995,CI
40,78.11,81.16499999999999,74.92,HR
41,77.83500000000001,80.22,75.535,CU
42,82.575,84.62,80.505,CY
43,78.79499999999999,81.61500000000001,75.935,CZ
44,61.394999999999996,63.77499999999999,59.125,CD
45,80.955,82.685,79.195,DK
46,65.225,67.2,63.47,DJ
47,72.295,75.695,69.19,DO
48,77.815,80.0,75.66499999999999,EC
49,71.155,73.515,68.905,EG
50,74.14,78.57499999999999,69.35,SV
51,61.66,62.705,60.575,GQ
52,63.185,66.25999999999999,60.349999999999994,ER
53,78.24,82.155,73.86500000000001,EE
54,55.89,60.945,51.805,SZ
55,67.75999999999999,69.58,65.97,ET
56,67.92,70.18,65.85,FJ
57,81.41,83.945,78.845,FI
58,82.195,84.905,79.375,FR
59,65.7,68.91,62.85,GA
60,64.805,66.965,62.8,GM
61,72.93,77.345,68.515,GE
62,81.07,83.74,78.42,DE
63,65.41499999999999,68.285,62.815,GH
64,80.74,83.255,78.245,GR
65,72.78999999999999,75.24000000000001,70.535,GD
66,71.485,74.525,68.4,GT
67,59.91,61.16,58.379999999999995,GN
68,59.224999999999994,61.894999999999996,56.445,GW
69,65.64,69.305,62.38,GY
70,63.33,63.94500000000001,62.715,HT
71,70.88,72.645,69.12,HN
72,76.005,79.16,72.625,HU
73,82.235,83.715,80.75,IS
74,70.05000000000001,71.39500000000001,68.815,IN
75,70.96000000000001,72.9,69.08500000000001,ID
76,77.005,78.805,75.32499999999999,IR
77,71.355,74.19,68.625,IQ
78,81.49000000000001,83.20500000000001,79.765,IE
79,82.275,84.075,80.375,IL
80,82.59,84.58000000000001,80.455,IT
81,75.91499999999999,77.695,74.22999999999999,JM
82,83.94,86.675,81.095,JP
83,77.845,78.775,76.985,JO
84,72.93,76.91499999999999,68.70500000000001,KZ
85,65.13,67.53,62.705,KE
86,58.81,62.084999999999994,55.635000000000005,KI
87,81.05,83.89500000000001,79.35499999999999,KW
88,72.885,76.295,69.33500000000001,KG
89,67.795,70.255,65.445,LA
90,75.09,79.565,70.255,LV
91,76.21000000000001,78.985,73.75,LB
92,49.21,52.41,46.364999999999995,LS
93,62.625,63.34,61.9,LR
94,75.19,77.12,73.3,LY
95,75.185,79.95,70.16,LT
96,82.36,84.245,80.44,LU
97,64.77,66.05,63.485,MG
98,64.33,67.7,60.99,MW
99,74.83500000000001,77.10499999999999,72.81,MY
100,79.0,80.11500000000001,78.095,MV
101,61.845,62.405,61.28,ML
102,81.77000000000001,83.69,79.785,MT
103,67.895,68.21000000000001,67.63499999999999,MR
104,74.10499999999999,77.375,70.955,MU
105,75.94,78.735,73.11,MX
106,62.885000000000005,65.85499999999999,60.245000000000005,FM
107,72.195,76.08500000000001,68.225,MD
108,67.85499999999999,72.445,63.635000000000005,MN
109,75.57499999999999,78.19,72.99000000000001,ME
110,72.725,73.93,71.525,MA
111,57.045,60.59,53.44,MZ
112,68.35499999999999,71.45,65.115,MM
113,63.724999999999994,67.33500000000001,59.97,NA
114,70.155,72.07,68.1,NP
115,81.535,82.985,80.035,NL
116,81.63499999999999,83.185,80.045,NZ
117,74.83000000000001,77.625,71.94999999999999,NI
118,62.415,63.71,61.17,NE
119,61.89,63.449999999999996,60.395,NG
120,72.195,75.235,68.855,KP
121,74.275,76.37,72.255,MK
122,82.315,83.91999999999999,80.67,NO
123,73.21000000000001,74.67500000000001,72.185,OM
124,64.89500000000001,66.03999999999999,63.855000000000004,PK
125,79.005,81.72,76.41,PA
126,64.895,66.95,62.985,PG
127,75.685,78.725,72.955,PY
128,79.49000000000001,80.95,78.005,PE
129,70.36500000000001,73.63,67.265,PH
130,77.78,81.54,73.945,PL
131,81.22999999999999,84.035,78.24000000000001,PT
132,76.78999999999999,76.28,77.6,QA
133,75.195,78.84,71.61500000000001,RO
134,72.265,77.3,67.015,RU
135,68.395,70.53,66.175,RW
136,74.67,78.115,71.56,LC
137,72.845,75.115,70.81,VC
138,70.245,71.66999999999999,68.92,WS
139,70.00999999999999,71.555,68.42,ST
140,73.73,75.7,72.42,SA
141,67.89,69.455,66.13999999999999,SN
142,75.53999999999999,78.02000000000001,73.07499999999999,RS
143,73.27000000000001,76.99000000000001,69.965,SC
144,58.855000000000004,59.915,57.75,SL
145,83.015,85.17,80.88499999999999,SG
146,77.62,80.905,74.16,SK
147,80.89,83.69,78.08,SI
148,64.995,67.64,62.605000000000004,SB
149,55.519999999999996,58.265,53.09,SO
150,63.91,66.815,61.010000000000005,ZA
151,82.75,85.605,79.675,KR
152,62.39,64.57,60.315,SS
153,82.775,85.31,80.17,ES
154,76.57,79.61,73.425,LK
155,68.545,70.235,66.87,SD
156,72.03999999999999,75.24,69.0,SR
157,82.075,83.735,80.4,SE
158,83.03,84.78999999999999,81.195,CH
159,68.535,71.315,66.03,SY
160,69.08,71.185,67.13499999999999,TJ
161,66.35,68.26,64.375,TZ
162,77.555,80.87,74.245,TH
163,69.245,70.94999999999999,67.62,TL
164,63.095,66.03,60.38,TG
165,72.44999999999999,75.575,69.63,TO
166,75.37,79.125,71.82,TT
167,76.87,79.00999999999999,74.72999999999999,TN
168,78.20500000000001,80.36500000000001,75.91499999999999,TR
169,69.43,72.77,66.07,TM
170,65.58,69.115,62.025000000000006,UG
171,72.61,77.38499999999999,67.60499999999999,UA
172,75.695,78.13,74.675,AE
173,81.025,82.66499999999999,79.36000000000001,GB
174,78.53,80.765,76.295,US
175,77.065,80.56,73.39500000000001,UY
176,72.23,74.565,69.87,UZ
177,64.975,68.0,62.34,VU
178,74.305,78.57,70.25,VE
179,73.44999999999999,77.86,69.22,VN
180,67.05,69.25,64.91,YE
181,61.475,64.19500000000001,58.735,ZM
182,59.58,62.285,56.62,ZW
