,poverty_rate,country_code
0,54.5,AF
1,14.3,AL
2,5.5,DZ
3,32.3,AO
4,35.5,AR
5,26.4,AM
6,12.4,AU
7,13.3,AT
8,6.0,AZ
9,24.3,BD
10,5.0,BY
11,14.8,BE
12,,BZ
13,38.5,BJ
14,8.2,BT
15,37.2,BO
16,16.9,BA
17,19.3,BW
18,26.5,BR
19,23.8,BG
20,41.4,BF
21,64.9,BI
22,17.7,KH
23,37.5,CM
24,11.6,CA
25,,CV
26,62.0,CF
27,42.3,TD
28,8.6,CL
29,0.6,CN
30,35.7,CO
31,42.4,KM
32,21.0,CR
33,18.3,HR
34,14.7,CY
35,10.1,CZ
36,12.5,DK
37,21.1,DJ
38,21.0,DO
39,63.9,CD
40,25.0,EC
41,32.5,EG
42,22.8,SV
43,76.8,GQ
44,69.0,ER
45,21.7,EE
46,58.9,SZ
47,23.5,ET
48,29.9,FJ
49,12.2,FI
50,13.6,FR
51,33.4,GA
52,48.6,GM
53,19.5,GE
54,14.8,DE
55,23.4,GH
56,17.9,GR
57,59.3,GT
58,43.7,GN
59,69.3,GW
60,,GY
61,58.5,HT
62,48.3,HN
63,12.3,HU
64,8.8,IS
65,21.9,IN
66,9.4,ID
67,,IR
68,18.9,IQ
69,13.1,IE
70,16.9,IL
71,20.1,IT
72,39.5,CI
73,19.9,JM
74,15.7,JP
75,15.7,JO
76,4.3,KZ
77,36.1,KE
78,21.8,KI
79,20.1,KG
80,18.3,LA
81,22.9,LV
82,27.4,LB
83,49.7,LS
84,50.9,LR
85,20.6,LT
86,17.5,LU
87,70.7,MG
88,51.5,MW
89,5.6,MY
90,8.2,MV
91,42.1,ML
92,17.1,MT
93,31.0,MR
94,10.3,MU
95,41.9,MX
96,41.2,FM
97,7.3,MD
98,28.4,MN
99,24.5,ME
100,4.8,MA
101,46.1,MZ
102,24.8,MM
103,17.4,NA
104,,NR
105,25.2,NP
106,13.6,NL
107,24.9,NI
108,40.8,NE
109,40.1,NG
110,21.6,MK
111,12.7,NO
112,24.3,PK
113,24.9,PW
114,29.2,PS
115,22.1,PA
116,39.9,PG
117,23.5,PY
118,20.2,PE
119,16.7,PH
120,15.4,PL
121,17.2,PT
122,40.9,CG
123,23.8,RO
124,12.6,RU
125,38.2,RW
126,25.0,LC
127,20.3,WS
128,66.7,ST
129,46.7,SN
130,23.2,RS
131,25.3,SC
132,56.8,SL
133,,SK
134,12.0,SI
135,12.7,SB
136,,SO
137,55.5,ZA
138,,KR
139,76.4,SS
140,20.7,ES
141,4.1,LK
142,46.5,SD
143,,SR
144,17.1,SE
145,16.0,CH
146,35.2,SY
147,,TW
148,26.3,TJ
149,26.4,TZ
150,9.9,TH
151,41.8,TL
152,55.1,TG
153,22.5,TO
154,,TT
155,15.2,TN
156,14.4,TR
157,,TM
158,26.3,TV
159,21.4,UG
160,1.1,UA
161,,AE
162,18.6,GB
163,17.8,US
164,8.8,UY
165,14.1,UZ
166,12.7,VU
167,33.1,VE
168,6.7,VN
169,48.6,YE
170,54.4,ZM
171,38.3,ZW
