plant_name,latitude,longitude,capacity_Mwe
Arkansas Nuclear One,35.311,-93.2351,1845
Beaver Valley Power Station,40.6219,-80.4336,1846.8
Braidwood Station,41.2435,-88.2286,2449.8
Browns Ferry Nuclear Plant,34.7042,-87.1189,3567.5
Brunswick Steam Electric Plant,33.9597,-78.0114,2003.2
Byron Station,42.0742,-89.2819,2449.8
Callaway Plant,38.758919,-91.778841,1235.8
Calvert Cliffs Nuclear Power Plant,38.4344,-76.4417,1850.4
Catawba Nuclear Station,35.0514,-81.0694,2410.2
Clinton Power Station,40.1719,-88.8339,1138.3
Columbia Generating Station,46.4711,-119.3339,1200
Comanche Peak Nuclear Power Plant,32.298365,-97.785515,2430
Cooper Nuclear Station,40.3628,-95.6408,801
Davis-Besse Nuclear Power Station,41.5967,-83.0861,925.2
Diablo Canyon Nuclear Power Plant,35.211536,-120.855542,2323
Donald C. Cook Nuclear Plant,41.975604,-86.565206,2285.3
Dresden Nuclear Power Station,41.39,-88.27,2018.6
Edwin I. Hatch Nuclear Plant,31.9342,-82.3447,1848
Fermi Nuclear Station,41.9631,-83.2581,1281
Grand Gulf Nuclear Station,32.0081,-91.0478,1440
H. B. Robinson Steam Electric Plant,34.4017,-80.1589,768.6
Hope Creek Generating Station,39.4666,-75.5377,1290.7
Indian Point Nuclear Power Plant,41.2706,-73.9526,1012
James A. FitzPatrick Nuclear Power Plant,43.52139,-76.408394,883.3
Joseph M. Farley Nuclear Plant,31.2231,-85.1116,1776.4
LaSalle County Station,41.245498,-88.669066,2340
Limerick Generating Station,40.224303,-75.58744,2277
McGuire Nuclear Station,35.4331,-80.9486,2440.6
Millstone Power Station,41.3107,-72.1677,2162.9
Monticello Nuclear Generating Plant,45.3338,-93.8493,685
Nine Mile Point Nuclear Station,43.5211,-76.41,1901.1
North Anna Power Station,38.06,-77.7897,1960.4
Oconee Nuclear Station,34.7939,-82.8986,2666.7
Palisade Nuclear Station,42.32226,-86.31444,805
Palo Verde Nuclear Generating Station,33.3881,-112.8617,4209.6
Peach Bottom Atomic Power Station,39.758936,-76.268742,2876.4
Perry Nuclear Power Plant,41.8006,-81.1439,1311.6
Point Beach Nuclear Plant,44.2806,-87.5369,1311
Prairie Island Nuclear Generating Plant,44.622,-92.6333,1186.2
Quad Cities Nuclear Power Station,41.726111,-90.310278,2018.6
R.E. Ginna Nuclear Power Plant,43.2777,-77.3099,614
River Bend Station,30.757,-91.3327,1035.9
St. Lucie Plant,27.348611,-80.246389,2160
Salem Nuclear Generating Station,39.4625,-75.5358,2381.8
Seabrook Station,42.899167,-70.848889,1242
Sequoyah Nuclear Plant,35.2267,-85.0917,2441
Shearon Harris Nuclear Power Plant,35.6334,-78.9556,950.9
South Texas Project,28.795,-96.0481,2708.6
Surry Power Station,37.1661,-76.6986,1695
Susquehanna Steam Electric Station,41.0919,-76.1462,2532
Turkey Point Nuclear Station,25.4356,-80.3308,2861.2
Virgil C. Summer Nuclear Station,34.2983,-81.3153,1029.6
Vogtle Electric Generating Plant,33.1427,-81.7625,2430
Waterford Steam Electric Station,29.995267,-90.471581,1199.8
Watts Bar Nuclear Plant,35.6021,-84.7895,2539.8
Wolf Creek Generating Station,38.23926,-95.68978,1267.7
